code	prefLabel	broader	definition
20000699	mosque	http://cv.iptc.org/newscodes/mediatopic/20000697	A building used as a place of worship for the Islamic religion
20000700	synagogue	http://cv.iptc.org/newscodes/mediatopic/20000697	A building used as a place of worship for the Jewish religion
20000701	temple	http://cv.iptc.org/newscodes/mediatopic/20000697	Generally an edifice identifiable as a place of worship
20000702	relations between religion and government	http://cv.iptc.org/newscodes/mediatopic/12000000	Matters arising from the relationship between religions and a government, including the question of whether churches should pay taxes, the push to keep religion out of publicly funded institutions and the freedom, or lack of to wear religious symbols in a school setting
20000703	religious leader	http://cv.iptc.org/newscodes/mediatopic/12000000	Person or persons who have a ritual, juridical or otherwise leading role in their respective church or religion
20000704	pope	http://cv.iptc.org/newscodes/mediatopic/20000703	Head of the Roman Catholic Church worldwide
20000705	religious text	http://cv.iptc.org/newscodes/mediatopic/12000000	Texts regarded as holy or important by a religion
20000706	Bible	http://cv.iptc.org/newscodes/mediatopic/20000705	Holy book of Christianity
20000707	Qur'an	http://cv.iptc.org/newscodes/mediatopic/20000705	Holy book of Islam
20000708	Torah	http://cv.iptc.org/newscodes/mediatopic/20000705	Holy book of Judaism
20000710	biomedical science	http://cv.iptc.org/newscodes/mediatopic/13000000	The application of biology-based science to medical fields such as research, health monitoring or medical treatment
20000711	biotechnology	http://cv.iptc.org/newscodes/mediatopic/20000710	The scientific manipulation of living organisms and biological processes for scientific, medical or agricultural purposes
20000712	dentistry	http://cv.iptc.org/newscodes/mediatopic/20000487	The medical profession and field of study devoted to diagnosing, preventing and treating oral conditions
20000713	pharmacology	http://cv.iptc.org/newscodes/mediatopic/20000487	The medical profession and field of study concerned with the uses, modes of action and effects of pharmaceutical agents
20000714	veterinary medicine	http://cv.iptc.org/newscodes/mediatopic/20000487	The medical profession and field of study devoted to diagnosis, prevention and treatment of medical conditions in animals
20000715	mathematics	http://cv.iptc.org/newscodes/mediatopic/13000000	The study of structure, space, change and number in abstract, often using symbolic logic and language, and including subjects such as geometry, algebra or trigonometry
20000716	mechanical engineering	http://cv.iptc.org/newscodes/mediatopic/20000756	The study and application of the design, construction and operation of mechanical systems
20000717	natural science	http://cv.iptc.org/newscodes/mediatopic/13000000	The sciences that deal with matter, energy and the physical world, including physics, biology, chemistry and astronomy
20000718	astronomy	http://cv.iptc.org/newscodes/mediatopic/20000717	The study of celestial objects through direct observation and theoretical models
20000719	biology	http://cv.iptc.org/newscodes/mediatopic/20000717	The study of the anatomy, behavior, origin, physiology and other aspects of living organisms
20000720	botany	http://cv.iptc.org/newscodes/mediatopic/20000719	The study of the physical and physiological structure, genetics, ecology and other aspects of plants
20000721	genetics	http://cv.iptc.org/newscodes/mediatopic/20000719	The study of genes in living organisms, and of their role in heredity, development or genetic adaptation
20000722	paleontology	http://cv.iptc.org/newscodes/mediatopic/20000719	The study of prehistoric life forms, geological periods and fossils
20000723	physiology	http://cv.iptc.org/newscodes/mediatopic/20000719	The study of the vital processes, internal organs or functional mechanisms of living organisms
20000724	zoology	http://cv.iptc.org/newscodes/mediatopic/20000719	The study of the biology, physiology, development, behavior or other aspects of animals
20000725	chemistry	http://cv.iptc.org/newscodes/mediatopic/20000717	The study of the composition and properties of matter on the scale of atoms and molecules, and of the reactions between compounds
20000726	cosmology	http://cv.iptc.org/newscodes/mediatopic/20000717	The study of the origin, evolution, organization and structure of the universe
20000727	geology	http://cv.iptc.org/newscodes/mediatopic/20000717	The study of Earth's physical processes, material structures and its properties
20000728	horticulture	http://cv.iptc.org/newscodes/mediatopic/20000717	The study and art of plant cultivation, including landscape and garden design and plant conservation
20000729	marine science	http://cv.iptc.org/newscodes/mediatopic/20000717	The study of living organisms and environments in saltwater ecosystems
20000730	meteorology	http://cv.iptc.org/newscodes/mediatopic/20000717	The study of atmospheric chemistry and physics, with a focus on weather forecasting
20000731	physics	http://cv.iptc.org/newscodes/mediatopic/20000717	The study of the movement and structure of matter, and how it relates to energy
20000732	electromagnetism	http://cv.iptc.org/newscodes/mediatopic/20000731	The study of the physical interactions between electrically charged particles and magnetic fields
20000733	nuclear physics	http://cv.iptc.org/newscodes/mediatopic/20000731	The study of the structure and behavior of atomic nuclei
20000734	particle physics	http://cv.iptc.org/newscodes/mediatopic/20000733	The study of the nature, properties and interactions of the elementary particles that constitute matter
20000735	scientific research	http://cv.iptc.org/newscodes/mediatopic/13000000	The scientific and methodical investigation of events, procedures and interactions to explain why they occur, or to find solutions for problems
20000736	scientific innovation	http://cv.iptc.org/newscodes/mediatopic/20000735	The development or creation of new scientific or technological products or processes, such as biotech or artificial intelligence applications, robotic limbs or nanoscale cameras
20000737	medical research	http://cv.iptc.org/newscodes/mediatopic/20000735	Investigation conducted in the fields of health and medicine, such as genetic studies, disease research or pharmaceutical drug trials
20000738	scientific exploration	http://cv.iptc.org/newscodes/mediatopic/20000735	Land, sea or space journeys undertaken to discover new information
20000739	space exploration	http://cv.iptc.org/newscodes/mediatopic/20000738	The scientific exploration of outer space through manned and unmanned missions
20000740	scientific publication	http://cv.iptc.org/newscodes/mediatopic/20000735	Academic research findings published in a journal, book or thesis
20000741	scientific institution	http://cv.iptc.org/newscodes/mediatopic/13000000	Institution that carries out or governs scientific work, such as the National Academy of Arts and Sciences
20000742	social sciences	http://cv.iptc.org/newscodes/mediatopic/13000000	The study of human society in such aspects as linguistics, anthropology, economics or sociology
20000743	anthropology	http://cv.iptc.org/newscodes/mediatopic/20000742	The study of human behavior and social interactions across time
20000744	archeology	http://cv.iptc.org/newscodes/mediatopic/20000742	The study of human activity throughout time and cultural history, using artefacts left behind by ancient peoples
20000745	economics	http://cv.iptc.org/newscodes/mediatopic/20000742	The study of the laws and principles of economies, such as the production and distribution of goods and services
20000746	geography	http://cv.iptc.org/newscodes/mediatopic/20000742	The study of the physical features of the surface of Earth and its political divisions
20000747	history	http://cv.iptc.org/newscodes/mediatopic/20000742	The study of human events of the past
20000748	information science	http://cv.iptc.org/newscodes/mediatopic/20000742	The study and practice of collecting, classifying, storing, retrieving and disseminating information
20000749	study of law	http://cv.iptc.org/newscodes/mediatopic/20000742	The study of legal systems and the philosophy of law
20000750	linguistics	http://cv.iptc.org/newscodes/mediatopic/20000742	The study of all aspects of human language such as syntax, phonetics, written and spoken forms and variations over time
20000751	philosophy	http://cv.iptc.org/newscodes/mediatopic/20000742	The study of the principles and fundamental questions about matters such as the mind, reason, morality or values
20000752	political science	http://cv.iptc.org/newscodes/mediatopic/20000742	The study of the principles of political and governmental systems, political thought and practices
20000753	psychology	http://cv.iptc.org/newscodes/mediatopic/20000742	The study of the human mind, mental characteristics and emotional processes
20000754	sociology	http://cv.iptc.org/newscodes/mediatopic/20000742	The study of human social organization, social relationships and societal changes
20000755	scientific standards	http://cv.iptc.org/newscodes/mediatopic/13000000	Nationally or internationally established rules governing scientific and technological study and development, such as calibration standards for scientific tools or equipment
20000756	technology and engineering	http://cv.iptc.org/newscodes/mediatopic/13000000	The study and practice of industrial or applied sciences such as physics, hydrodynamics or thermodynamics
20000757	aerospace engineering	http://cv.iptc.org/newscodes/mediatopic/20000756	The study, design, development and construction of aircraft, spacecraft and missile systems
20000758	rocketry	http://cv.iptc.org/newscodes/mediatopic/20000757	The study, design, development and construction of rockets
20000759	agricultural technology	http://cv.iptc.org/newscodes/mediatopic/20000756	The study and development of techniques and machinery to improve agricultural management and productivity
20000760	civil engineering	http://cv.iptc.org/newscodes/mediatopic/20000756	The study, design, development and construction of structures such as buildings, bridges, tunnels, irrigation and sewage systems, streets or railroads
20000761	electronic engineering	http://cv.iptc.org/newscodes/mediatopic/20000756	The study, design, development and application of systems built on the exchange of electrical charges, such as consumer devices, communications systems or industrial computers
20000762	identification technology	http://cv.iptc.org/newscodes/mediatopic/20000756	The study, development, application and ethical considerations of technological methods for identifying products, animals or people; including radio frequency, biometrics or face recognition
20000763	information technology and computer science	http://cv.iptc.org/newscodes/mediatopic/20000756	The study and design of computer systems, software and networks
20000764	materials science	http://cv.iptc.org/newscodes/mediatopic/20000756	The study of the composition, structure and properties of materials for their use in industry and manufacturing
20000765	micro science	http://cv.iptc.org/newscodes/mediatopic/20000756	The study of and technologies built at a microscopic scale, such as microbiology or microcomputing
20000766	nanotechnology	http://cv.iptc.org/newscodes/mediatopic/20000765	Manipulating objects at the molecular scale
20000768	communities	http://cv.iptc.org/newscodes/mediatopic/14000000	A group of individuals actively sharing a common value or interest
20000769	social networking	http://cv.iptc.org/newscodes/mediatopic/20000768	Social interactions, either in person or online, intended to share information and build relationships around common interests
20000770	demographics	http://cv.iptc.org/newscodes/mediatopic/14000000	The study of human populations and their characteristics, for example statistics or trends around aging populations in a particular geographic region
20000771	immigration	http://cv.iptc.org/newscodes/mediatopic/14000000	The movement of individuals or groups of people from one country to another
20000772	emigration	http://cv.iptc.org/newscodes/mediatopic/14000000	Leaving one's country of residence to settle permanently elsewhere
20000773	illegal immigration	http://cv.iptc.org/newscodes/mediatopic/20000771	The movement of individuals or groups of people from one country to another without legal authorization from the destination country
20000774	population and census	http://cv.iptc.org/newscodes/mediatopic/20000770	The official count of people living in a given geopolitical area, usually carried out by a governmental body
20000775	discrimination	http://cv.iptc.org/newscodes/mediatopic/14000000	Unfair treatment of, or policies or practices against, individuals or groups of people on the basis of real or perceived membership in a group, such as race, sexual orientation, political or religious beliefs, age or height
20000776	ageism	http://cv.iptc.org/newscodes/mediatopic/20000775	Discrimination against individuals or groups of people on the basis of age
20000777	racism	http://cv.iptc.org/newscodes/mediatopic/20000775	Discrimination against individuals or groups of people on the basis of race
20000778	religious discrimination	http://cv.iptc.org/newscodes/mediatopic/20000775	Unfair treatment of individuals or groups of people on the basis of their religious belief
20000779	sexism	http://cv.iptc.org/newscodes/mediatopic/20000775	Discrimination against individuals or groups of people, usually women, on the basis of gender
20000780	family	http://cv.iptc.org/newscodes/mediatopic/14000000	A group of people related genetically or by a legal bond, or who consider themselves part of a familial unit regardless of genetic or legal status
20000781	adoption	http://cv.iptc.org/newscodes/mediatopic/20000780	The legal process of transferring parental rights to someone other than a person's birth parents, that person usually being a child
20000782	Dating and Relationships	http://cv.iptc.org/newscodes/mediatopic/20000780	The development of an intimate connection between individuals, through various forms of activities enjoyed together, often leading to a legal or permanent union such as marriage
20000783	divorce	http://cv.iptc.org/newscodes/mediatopic/20000780	The process by which a marriage is legally dissolved
20000784	family planning	http://cv.iptc.org/newscodes/mediatopic/20000780	Services and education aimed at informing individual decisions about reproduction, such as fertility, in vitro fertilisation, contraception or abortion
20000785	abortion	http://cv.iptc.org/newscodes/mediatopic/20000784	The intentional termination of a pregnancy for elective or medical reasons
20000786	marriage	http://cv.iptc.org/newscodes/mediatopic/20000780	The legal or socially recognized union of individuals, which establishes rights and obligations between them
20000787	parenting	http://cv.iptc.org/newscodes/mediatopic/20000780	The caring for and support of a child's physical, emotional, developmental and social needs from birth to adulthood
20000788	demographic group	http://cv.iptc.org/newscodes/mediatopic/14000000	A subset of society with shared traits
20000789	adults	http://cv.iptc.org/newscodes/mediatopic/20000788	People above an age set by law that entitles them to full liability and certain privileges such as the legal right to drink alcoholic beverages and to vote
20000790	children	http://cv.iptc.org/newscodes/mediatopic/20000788	Young people, usually pre-pubescent, who are legally considered minors and are in a guardianship relationship with adults
20000791	disabilities	http://cv.iptc.org/newscodes/mediatopic/20000788	Physical or mental conditions that limit a person's movements, senses, or activities
20000792	LGBTQ	http://cv.iptc.org/newscodes/mediatopic/20000788	People who identify as lesbian, gay, bisexual, transgender or queer
20000793	gender	http://cv.iptc.org/newscodes/mediatopic/20000788	The classification of individuals as male, female, or a non-binary designation
20000794	infants	http://cv.iptc.org/newscodes/mediatopic/20000788	Very young people, usually defined as being just born up to the age of two
20000795	national or ethnic minority	http://cv.iptc.org/newscodes/mediatopic/20000788	Groups of people that form a minority on an ethnic or national basis, and their status or issues relating to the majority
20000796	nuclear radiation victims	http://cv.iptc.org/newscodes/mediatopic/20000788	Includes antinuclear movements and compensation for atomic blast victims.
20000797	senior citizens	http://cv.iptc.org/newscodes/mediatopic/20000788	People having passed the age of retirement
20000798	teenagers	http://cv.iptc.org/newscodes/mediatopic/20000788	Young people between the ages that describe childhood and adulthood
20000799	social condition	http://cv.iptc.org/newscodes/mediatopic/14000000	The circumstances or state of affairs affecting a person's life, welfare and relations with others in a society
20000800	homelessness	http://cv.iptc.org/newscodes/mediatopic/20000799	The social condition defined by lack of permanent residence, living in shelters or on streets, and the issues and problems associated with it
20000801	poverty	http://cv.iptc.org/newscodes/mediatopic/20000799	The lack of sufficient resources and means to provide basic needs such as food, clothing or shelter for oneself and one's family
20000802	social problem	http://cv.iptc.org/newscodes/mediatopic/14000000	Issues related to human rights, human welfare and other areas of societal concern
20000803	abusive behavior	http://cv.iptc.org/newscodes/mediatopic/20000802	Actions that intentionally harm another person or people, often on an ongoing basis, such as psychological or mental abuse, negligence, physical or sexual abuse and torture
20000804	addiction	http://cv.iptc.org/newscodes/mediatopic/20000802	The habitual and compulsive use of substances such as alcohol or drugs, or behavior such as gambling, gaming or sex, often causing detrimental effects on the body, brain, and relationships with others
20000805	juvenile delinquency	http://cv.iptc.org/newscodes/mediatopic/20000802	Unlawful conduct perpetrated by minors, often on a repeated basis
20000806	prostitution	http://cv.iptc.org/newscodes/mediatopic/20000802	The business of engaging in sexual activity in exchange for payment
20000807	slavery	http://cv.iptc.org/newscodes/mediatopic/20000802	The ownership of people as property, and the involuntary servitude of those people to their owners, which includes unpaid labor and coerced actions
20000808	values	http://cv.iptc.org/newscodes/mediatopic/14000000	A person's or group's principles or standards of behavior, which guide their way of living and choices made
20000809	corrupt practices	http://cv.iptc.org/newscodes/mediatopic/20000808	Any action which is harmful to others
20000810	death and dying	http://cv.iptc.org/newscodes/mediatopic/20000808	Social, medical and mental health issues relating to people at the end of their lives
20000811	euthanasia	http://cv.iptc.org/newscodes/mediatopic/20000810	The practice of humanely ending the life of a person suffering from a terminal illness
20000812	assisted suicide	http://cv.iptc.org/newscodes/mediatopic/20000811	The practice of assisting a person suffering from a terminal illness in the process of suicide, often with a physician's oversight
20000813	suicide	http://cv.iptc.org/newscodes/mediatopic/20000810	The intentional taking of one's own life
20000814	ethics	http://cv.iptc.org/newscodes/mediatopic/20000808	The moral values and standards that define right and wrong actions or decisions
20000815	pornography	http://cv.iptc.org/newscodes/mediatopic/20000808	The depiction of sexually explicit acts in various media renditions, such as video or photos, often considered obscene or immoral
20000816	sexual behavior	http://cv.iptc.org/newscodes/mediatopic/20000808	The manner in which people express their sexuality in physical acts
20000817	welfare	http://cv.iptc.org/newscodes/mediatopic/14000000	Help for those in need of food, housing, health and other services
20000818	charity	http://cv.iptc.org/newscodes/mediatopic/20000817	The voluntary giving of money, food or other necessities to those in need
20000819	long-term care	http://cv.iptc.org/newscodes/mediatopic/20000817	Services provided on an extended and ongoing basis to patients suffering from chronic illness or disability
20000820	social services	http://cv.iptc.org/newscodes/mediatopic/20000817	Social programs, usually publicly sponsored, aimed at promoting people's welfare, such as housing, health care or education services
20000822	competition discipline	http://cv.iptc.org/newscodes/mediatopic/15000000	Different types of sport which can be executed in competitions
20000823	American football	http://cv.iptc.org/newscodes/mediatopic/20000822	Team ball game that opposes two teams of 11 that have offense and defense sections. Each offense attempts to move an oval ball down the 120 yards long field. Points are scored by advancing the ball into the opposing team*s end zone.
20000824	archery	http://cv.iptc.org/newscodes/mediatopic/20000822	Archers use bows and arrows to aim at targets 1.22 meters in diameter which are on average 70 meters distant.
20000825	crossbow shooting	http://cv.iptc.org/newscodes/mediatopic/20000824	Shooting with crossbow on targets from different distances
20000826	longbow	http://cv.iptc.org/newscodes/mediatopic/20000824	Shooting with longbow on targets from different distances. The competition is held outdoors on an open (flat) field.
20000827	track and field	http://cv.iptc.org/newscodes/mediatopic/20000822	Competitions involving foot races, jumping and throwing which can be on a track inside a stadium or on outside roads
20000828	cross-country run	http://cv.iptc.org/newscodes/mediatopic/20000827	Competitors run over rough ground and not on a track
20000829	decathlon	http://cv.iptc.org/newscodes/mediatopic/20000827	Individual men's competition which involves accumulating points in 10 different disciplines over two days: 1st day - 100m, long-jump, shot-putt, high-jump, 400m. 2nd day - 110m hurdles, discus, pole-vault, javelin and 1,500 meters.
20000830	discus throw	http://cv.iptc.org/newscodes/mediatopic/20000827	Competitors stand in a netted circle with a 2.50 meters diameter and with a turning motion attempt to throw a discus weighing 2kg for men and 1kg for women as far as possible
20000831	hammer throw	http://cv.iptc.org/newscodes/mediatopic/20000827	Competitors throw a hammer consisting of a metal ball, chain and handle as far as they can from a netted circle which is 2.13 meters in diameter. The hammer weighs 7.26kg for men and 4kg for women
20000832	heptathlon	http://cv.iptc.org/newscodes/mediatopic/20000827	Competition involving seven separate disciplines over two days. 1st day - 100m hurdles, high jump, shot put, 200 meters. 2nd day - long-jump, javelin, 800 meters
20000833	high jump	http://cv.iptc.org/newscodes/mediatopic/20000827	Competitors build up speed over a short sprint and then jump as high as possible over a horizontal bar
20000834	hurdles	http://cv.iptc.org/newscodes/mediatopic/20000827	A sprint running race where athletes jump over a series of upright frames
20000835	javelin throw	http://cv.iptc.org/newscodes/mediatopic/20000827	Competitors in a specially-designated throwing area attempt to fling a spear-like javelin as far as possible. The javelin weighs 800 grams for men and 600 grams for women.
20000836	long distance run	http://cv.iptc.org/newscodes/mediatopic/20000827	A running race at distances for more than 1500 meters
20000837	long jump	http://cv.iptc.org/newscodes/mediatopic/20000827	Competitors build up speed over a short sprint and then jump in one leap as far as possible
20000838	middle distance run	http://cv.iptc.org/newscodes/mediatopic/20000827	A running race at distances for more than 400 meters and up to and including 1500 meters
20000839	pentathlon	http://cv.iptc.org/newscodes/mediatopic/20000827	Only indoor, 60m hurdles, high jump, shot put, long jump, 800 m
20000840	pole vault	http://cv.iptc.org/newscodes/mediatopic/20000827	Competitors use a flexible pole to propel themselves feet-first into the air and clear a bar which is raised higher at each round of jumps.
20000841	race walking	http://cv.iptc.org/newscodes/mediatopic/20000827	A race requiring the competitor to have always one foot on the ground
20000842	relay run	http://cv.iptc.org/newscodes/mediatopic/20000827	A team of athletes run a relay over identical distances
20000843	shot put	http://cv.iptc.org/newscodes/mediatopic/20000827	Competitors stand in a circle with a 2.13 meters diameter and attempt to throw a metal ball weighing 7.26 kg for men and 4kg for women as far as possible. The longest throw wins.
20000844	sprint run	http://cv.iptc.org/newscodes/mediatopic/20000827	A running race at distances of up to and including 400 meters
20000845	triple jump	http://cv.iptc.org/newscodes/mediatopic/20000827	Competitors build up speed over a short sprint and then attempt to jump as far forward as they can using a hop, skip and a jump technique.
20000846	Australian rules football	http://cv.iptc.org/newscodes/mediatopic/20000822	A form of football played by two teams of 18 competing on a pitch by running with and passing an oval ball. Points are scored by moving the ball between goal posts. Governed by the Australian Football League.
20000847	badminton	http://cv.iptc.org/newscodes/mediatopic/20000822	Two players or two teams of two compete by hitting a shuttlecock weighing approximately five grams over a high net. The aim for each player/team is to prevent the shuttlecock landing on their side of the court.
20000848	bandy	http://cv.iptc.org/newscodes/mediatopic/20000822	Played outdoors on ice. The size of the ice rink is about the size of a soccer field. Skates like ice hockey. A small hard ball is used for playing. Players play with sticks, much like in ice hockey, but the sticks are shorter and more rounded than in ice
20000849	baseball	http://cv.iptc.org/newscodes/mediatopic/20000822	A game between two teams of nine played on an enclosed ground. The team which scores the most points wins. A point is scored when a player runs around the ground marked out by four bases. To do this he has to hit the ball thrown at him by a rival player.
20000850	rubberball baseball	http://cv.iptc.org/newscodes/mediatopic/20000849	Sometimes called ''soft baseball,'' the game is played with a rubber baseball of varying degrees of hardness depending upon the age and level of the players.
20000851	basketball	http://cv.iptc.org/newscodes/mediatopic/20000822	Game played between two teams of five - points are scored by placing the large inflated ball into a net fixed on a ring 3.05m above the ground.
20000852	biathlon	http://cv.iptc.org/newscodes/mediatopic/20000822	A combination of cross-country skiing and target shooting on a 12.5 K course in a pursuit format.
20000853	billiards	http://cv.iptc.org/newscodes/mediatopic/20000822	A cue sport with balls on a table without a specific order to play them
20000854	bobsleigh	http://cv.iptc.org/newscodes/mediatopic/20000822	One, two or four people racing down a course in a sled that consists of a main hull, a frame, two axles and sets of runners. The total time of all heats in a competition is added together to determine the winner.
20000855	boules	http://cv.iptc.org/newscodes/mediatopic/20000822	Collective name of a number of games where the common goal is to move the competitor's balls as close to a small target ball as possible, played on a grass or sand surface. Balls are thrown (as in petanque and boules) or rolled (as in lawn bowls or bocce).
20000856	boxing	http://cv.iptc.org/newscodes/mediatopic/20000822	Combat sport in which two men/women fight using only their fists covered by padded gloves in a square ring measuring 6m a side. The fight is usually split into 12 rounds of three minutes each.
20000857	bantamweight (boxing)	http://cv.iptc.org/newscodes/mediatopic/20000856	Weight category which varies according to the federation or the Olympic Games
20000858	cruiserweight (boxing)	http://cv.iptc.org/newscodes/mediatopic/20000856	Weight category which varies according to the federation or the Olympic Games
20000859	featherweight (boxing)	http://cv.iptc.org/newscodes/mediatopic/20000856	Weight category which varies according to the federation or the Olympic Games
20000860	flyweight (boxing)	http://cv.iptc.org/newscodes/mediatopic/20000856	Weight category which varies according to the federation or the Olympic Games
20000861	heavyweight (boxing)	http://cv.iptc.org/newscodes/mediatopic/20000856	Weight category which varies according to the federation or the Olympic Games
20000862	light flyweight (boxing)	http://cv.iptc.org/newscodes/mediatopic/20000856	Weight category which varies according to the federation or the Olympic Games
20000863	light-heavyweight (boxing)	http://cv.iptc.org/newscodes/mediatopic/20000856	Weight category which varies according to the federation or the Olympic Games
20000864	light-middleweight (boxing)	http://cv.iptc.org/newscodes/mediatopic/20000856	Weight category which varies according to the federation or the Olympic Games
20000865	light-welterweight (boxing)	http://cv.iptc.org/newscodes/mediatopic/20000856	Weight category which varies according to the federation or the Olympic Games
20000866	lightweight (boxing)	http://cv.iptc.org/newscodes/mediatopic/20000856	Weight category which varies according to the federation or the Olympic Games
20000867	middleweight (boxing)	http://cv.iptc.org/newscodes/mediatopic/20000856	Weight category which varies according to the federation or the Olympic Games
20000868	straw weight (boxing)	http://cv.iptc.org/newscodes/mediatopic/20000856	Weight category which varies according to the federation or the Olympic Games
20000869	super-bantamweight (boxing)	http://cv.iptc.org/newscodes/mediatopic/20000856	Weight category which varies according to the federation or the Olympic Games
20000870	super-featherweight (boxing)	http://cv.iptc.org/newscodes/mediatopic/20000856	Weight category which varies according to the federation or the Olympic Games
20000871	super-flyweight (boxing)	http://cv.iptc.org/newscodes/mediatopic/20000856	Weight category which varies according to the federation or the Olympic Games
20000872	super-heavyweight (boxing)	http://cv.iptc.org/newscodes/mediatopic/20000856	Weight category which varies according to the federation or the Olympic Games
20000873	super-middleweight (boxing)	http://cv.iptc.org/newscodes/mediatopic/20000856	Weight category which varies according to the federation or the Olympic Games
20000874	welterweight (boxing)	http://cv.iptc.org/newscodes/mediatopic/20000856	Weight category which varies according to the federation or the Olympic Games
20000875	bullfighting	http://cv.iptc.org/newscodes/mediatopic/20000822	Classical contest pitting man against the bull
20000876	Canadian football	http://cv.iptc.org/newscodes/mediatopic/20000822	Team ball game that opposes two teams of 12 that have offense and defense sections. Each offense attempts to move an oval ball down the 150 yards long field. Points are scored by advancing the ball into the opposing team*s end zone.
20000877	canoeing	http://cv.iptc.org/newscodes/mediatopic/20000822	Competition involving canoes which are generally kneeled and paddled with a single-bladed paddle
20000878	C1 (canoeing)	http://cv.iptc.org/newscodes/mediatopic/20000877	One-seater canoe (open boat with competitor using a single bladed paddle
20000879	C2 (canoeing)	http://cv.iptc.org/newscodes/mediatopic/20000877	Two-seater canoe (open boat) - competitors use a single bladed paddle
20000880	C4 (canoeing)	http://cv.iptc.org/newscodes/mediatopic/20000877	Four-seater canoe (open boat) with each competitor using a single bladed paddle
20000881	canoe sailing	http://cv.iptc.org/newscodes/mediatopic/20000877	A race involving a canoe equipped with a sail.
20000882	pontoniering	http://cv.iptc.org/newscodes/mediatopic/20000877	Team sport, military tradition, similar to canoe regatta, in boats
20000883	casting (fishing)	http://cv.iptc.org/newscodes/mediatopic/20000822	Using fishing equipment to hit a target and score points
20000884	mountain climbing	http://cv.iptc.org/newscodes/mediatopic/20000822	Moving up mountains using hands and feet
20000885	ice climbing	http://cv.iptc.org/newscodes/mediatopic/20000884	Climbing of ice features such as icefalls and frozen cliffs
20000886	mountaineering	http://cv.iptc.org/newscodes/mediatopic/20000884	Competitive alpine climbing
20000887	sport climbing	http://cv.iptc.org/newscodes/mediatopic/20000822	Sport climbing as a special category: individual competition, on an artificial wall with time measurement
20000888	cricket	http://cv.iptc.org/newscodes/mediatopic/20000822	Ball sport involving two teams of 11 players, balls, bats and wickets. The aim is to score as many runs as possible, and to get the opposing team 'out'. A 'run' involves a player running between two wickets. The opposing team try to get their rivals 'out'
20000889	croquet	http://cv.iptc.org/newscodes/mediatopic/20000822	Using mallets to hit a ball through hoops
20000890	curling	http://cv.iptc.org/newscodes/mediatopic/20000822	A game played on ice with large flat round stones. A player throws the stone, aiming at a target. Teammates of the player who has thrown the stone can sweep the ice in front of the stone to help smooth its path towards the target.
20000891	icestock sport	http://cv.iptc.org/newscodes/mediatopic/20000890	Similar to curling, played on targets on ice, different stones with straight handle and different rules, played in alpine countries
20000892	cycling	http://cv.iptc.org/newscodes/mediatopic/20000822	A race over a given distance on bicycles.
20000893	artistic cycling	http://cv.iptc.org/newscodes/mediatopic/20000892	Individual or teams on one or two bicycles in an arena. Points are awarded by a jury.
20000894	bi-crossing	http://cv.iptc.org/newscodes/mediatopic/20000892	A race where competitors have to cover a circuit with obstacles as quickly as possible.
20000895	bmx racing	http://cv.iptc.org/newscodes/mediatopic/20000892	Bicycle racing in with inline start and various obstacles over off-road circuits.
20000896	cycle ball	http://cv.iptc.org/newscodes/mediatopic/20000892	Competitive team sport using bicycles. One team against another with two persons per team. The aim is for competitors to move the ball using the front and rear wheels without letting their feet touch the ground.
20000897	cycle sprint race	http://cv.iptc.org/newscodes/mediatopic/20000892	Track cycling race between two cyclists over two or three laps, with a timed sprint finish over the last 200m
20000898	cyclo-cross	http://cv.iptc.org/newscodes/mediatopic/20000892	Staged on various surfaces - earth, grass, sand or tarmac.
20000899	individual pursuit (cycling)	http://cv.iptc.org/newscodes/mediatopic/20000892	Track cycling event where two cyclists set off from midway down opposite straights and try to make up the gap between them
20000900	individual time trial (cycling)	http://cv.iptc.org/newscodes/mediatopic/20000892	A race or stage against the clock with each cyclist setting off individually
20000901	Keirin	http://cv.iptc.org/newscodes/mediatopic/20000892	Sprint between six cyclists where a pacemaker on a moped gradually increases the pace over the first 1400m. When the pacemaker leaves the track the race develops into a sprint finish over the final 6-700m.
20000902	Madison race	http://cv.iptc.org/newscodes/mediatopic/20000892	A points race by teams comprising two cyclists in relay-format
20000903	mountain biking	http://cv.iptc.org/newscodes/mediatopic/20000892	All-terrain, off-road bicycle riding requiring endurance and specially adapted mountain bikes
20000904	points race (cycling)	http://cv.iptc.org/newscodes/mediatopic/20000892	Cyclists aim to complete the highest number of laps. Bonus points are picked up in intermediate sprints held every 2500m
20000905	road cycling	http://cv.iptc.org/newscodes/mediatopic/20000892	Road race with all competitors starting en masse.
20000906	cycling staging race	http://cv.iptc.org/newscodes/mediatopic/20000892	Race disputed by teams with the classifications determined by the combined times over a day
20000907	team cycle sprint	http://cv.iptc.org/newscodes/mediatopic/20000892	A track race where two teams race against each other, starting on opposite sides of the track, following the first lap the first rider pulls away, leaving the second rider to lead the next lap, who then does the same at the last lap, leaving the third rider to finish the race. The team with the fastest time is the winner.
20000908	road cycling team pursuit	http://cv.iptc.org/newscodes/mediatopic/20000892	Track cycle event where two teams set off from midway down opposite straights and try to make up the gap between them
20000909	team time trial (cycling)	http://cv.iptc.org/newscodes/mediatopic/20000892	Teams of cyclists race against the clock
20000910	track race (cycling)	http://cv.iptc.org/newscodes/mediatopic/20000892	A race staged on a track in a velodrome
