code	prefLabel	broader	definition
20000066	protests and demonstrations	http://cv.iptc.org/newscodes/mediatopic/20000065	A non-violent public show of support for or opposition to a cause, idea or policy, in the form of a mass meeting or march
20000067	rebellion	http://cv.iptc.org/newscodes/mediatopic/20000065	Organized actions of opposition to a government or ruling party by a country's residents, often violent and with the aim of overthrowing the government
20000068	revolution	http://cv.iptc.org/newscodes/mediatopic/20000065	A forcible and often violent change to, or overthrow of, a country's political system or social order by internal forces, in favor of a new system
20000069	riot	http://cv.iptc.org/newscodes/mediatopic/20000065	Violent, destructive events of civil disorder by groups of people, usually in response to a grievance or as acts of opposition, often involving injury to individuals and destruction of property
20000070	coup d'etat	http://cv.iptc.org/newscodes/mediatopic/16000000	The overthrow of an established government by an organized military or political group
20000071	massacre	http://cv.iptc.org/newscodes/mediatopic/16000000	The mass killing of people, usually civilians, during wartime hostilities
20000072	genocide	http://cv.iptc.org/newscodes/mediatopic/20000082	The systematic killing of one clan, tribe, or religious or ethnic group by another
20000073	peace process	http://cv.iptc.org/newscodes/mediatopic/16000000	Organized actions to end a war or conflict, usually involving peace negotiations and agreements
20000074	peace envoy	http://cv.iptc.org/newscodes/mediatopic/20000073	Person or organization initiating and carrying out a peace process
20000075	peace plan	http://cv.iptc.org/newscodes/mediatopic/20000073	A strategy for achieving peace in a warring nation or area of conflict
20000076	peace talks	http://cv.iptc.org/newscodes/mediatopic/20000073	Discussions between countries, world regions or geopolitical entities in conflict or at war, often with a mediator, with the goal of arriving at a solution for peace
20000077	post-war reconstruction	http://cv.iptc.org/newscodes/mediatopic/16000000	Actions to rebuild a society, economy or political system in an area affected by war
20000078	disarmament	http://cv.iptc.org/newscodes/mediatopic/20000073	The abolishment or reduction of a country's military weapons cache
20000079	ordnance clearance	http://cv.iptc.org/newscodes/mediatopic/20000077	The removal or neutralization of ordnance such as landmines or cluster bombs that may remain after a war or armed conflict on public ground
20000080	prisoners of war	http://cv.iptc.org/newscodes/mediatopic/20001377	Individuals captured, imprisoned or detained by enemy factions during military conflicts or war
20000082	crime	http://cv.iptc.org/newscodes/mediatopic/02000000	Violations of laws by individuals, companies or organizations
20000083	arson	http://cv.iptc.org/newscodes/mediatopic/20000082	The intentional setting of fires with criminal intent
20000084	assault	http://cv.iptc.org/newscodes/mediatopic/20000082	Physical crime against a person, including battery, brawls and threat of bodily harm
20000085	sex crime	http://cv.iptc.org/newscodes/mediatopic/20000084	Sexual crimes against a person, such as rape, harassment, molestation or groping
