code	name	definition
15005007	mile	Running over a distance of one mile with the fastest time winning 
15005008	2000 m	Running over a distance of 2000 metres with the fastest time winning 
15005009	3000 m	Running over a distance of 3000 metres with the fastest time winning 
15005010	5000 m	Running over a distance of 5000 metres with the fastest time winning 
15005011	10,000 m	Running over a distance of 10,000 metres with the fastest time winning 
15005012	20 km	Walking over a distance of 20 km on public roads with the fastest time winning 
15005013	one hour	Walking as far as possible in the time of one hour 
15005014	25000	Walking over a distance of 25km with the fastest time winning 
15005015	30000	Walking over a distance of 30kms with the fastest time winning 
15005016	110 m hurdles	Race consisting of covering 110 metres as fast as possible while jumping over 10 hurdles placed on the track 
15005017	400 m hurdles	Race consisting of covering 400 metres as fast as possible while jumping over 10 hurdles placed on the track 
15005018	3000 m steeplechase	Race consisting of covering 3000 metres as fast as possible while jumping over 28 hurdles which are 91/4 centimetres high and seven water obstacles 
15005019	high jump	Competitors jump as high as possible over a bar which is raised each time they clear the height. The highest clearance wins. 
15005020	pole vault	Competitors use a flexible pole to propel themselves feet-first into the air and clear a bar which is raised higher at each round of jumps. 
15005021	long jump	Competitors build up speed over a short sprint and them attempt to jump as far forward as they can from a given point into sand trap. The longest jump wins. 
15005022	triple jump	Competitors build up speed over a short sprint and then attempt to jump as far forward as they can using a hop, skip and a jump technique. The longest jump wins. 
15005023	shot put	Competitors stand in a circle with a 2.13 metres diameter and attempt to throw a metal ball weighing 7.26 kg for men and 4kg for women as far as possible. The longest throw wins. 
15005024	discus throw	Competitors stand in a netted circle with a 2.50 metres diameter and with a turning motion attempt to throw a discus weighing 2kg for men and 1kg for women as far as possible. The longest throw wins. 
15005025	hammer throw	Competitors throw a hammer consisting of a metal ball, chain and handle as far as they can from a netted circle which is 2.13 metres in diameter. The hammer weighs 7.26 kg for men and 4 kg for women. 
15005026	javelin throw	Competitors in a specially-designated throwing area attempt to fling a spear-like javelin as far as possible. The javelin weighs 800 grammes for men and 600 grammes for women. 
15005027	decathlon	Individual men's competition which involves accumulating points in 10 different disciplines over two days: 1st day - 100m, long-jump, shot-putt, high-jump, 400m. 2nd day - 110m hurdles, discus, pole-vault, javelin and 1,500 metres. 
15005028	4x100 m	Team race involving four runners each covering 100 metres. 
15005029	4x200 m	Team race involving four runners each covering 200 metres. 
15005030	4x400 m	Team race involving four runners each covering 400 metres. 
15005031	4x800 m	Team race involving four runners each covering 800 metres. 
15005032	4x1500 m	Team race involving four runners each covering 1500 metres. 
15005033	walk 1 h	One-hour long race where competitors must maintain at least one foot in contact with the ground and are not allowed to run. 
15005034	walk 2 h	Two-hour long walking race where competitors must maintain at least one foot in contact with the ground and are not allowed to run. 
15005035	10 km walk	Walking race over 10 kilometres where competitors must maintain at least one foot in contact with the ground and are not allowed to run. 
15005036	15 km walk	Walking race over 15 kilometres where competitors must maintain at least one foot in contact with the ground and are not allowed to run. 
15005037	20 km walk	Walking race over 20 kilometres where competitors must maintain at least one foot in contact with the ground and are not allowed to run. 
15005038	30 km walk	Walking race over 30 kilometres where competitors must maintain at least one foot in contact with the ground and are not allowed to run. 
15005039	50 km walk	Walking race over 50 kilometres where competitors must maintain at least one foot in contact with the ground and are not allowed to run. 
15005040	100 m hurdles	Sprint over a distance of 100 metres with competitors having to clear 10 hurdles placed in their way. 
15005041	5 km walk	Walking race over 5 kilometres where competitors must maintain at least one foot in contact with the ground and are not allowed to run. 
15005042	heptathlon	Individual women's competition involving seven separate disciplines over two days. 1st day - 100m hurdles, high-jump, shot-putt, 200 metres. 2nd day - long-jump, javelin, 800 metres. 
15005043	1500 m walk	Walking race over 1500 metres where competitors must maintain at least one foot in contact with the ground and are not allowed to run. 
15005044	2000 m walk	Walking race over 2000 metres where competitors must maintain at least one foot in contact with the ground and are not allowed to run. 
15005045	3000 m walk	Walking race over 3000 metres where competitors must maintain at least one foot in contact with the ground and are not allowed to run. 
15005046	50 m	Short sprint race over 50 metres with the fastest time winning. 
15005047	50 m hurdles	Short sprint race over 50 metres interspersed with hurdles. 
15005048	50 yards	Short sprint race over 50 yards with the fastest time winning. 
15005049	50 yard hurdles	Short sprint race over 50 yards interspersed with hurdles. 
15005050	60 m	Short sprint race over 60 metres with the fastest time winning. 
15005051	60 m hurdles	Short sprint race over 60 metres interspersed with hurdles. 
15005052	60 yards	Short sprint race over 60 yards with the fastest time winning. 
15005053	60 yard hurdles	Short sprint race over 60 yards interspersed with hurdles. 
15005054	100 yards	Sprint race over 100 yards with the fastest time winning. 
15005055	100 yard hurdles	Sprint race over 100 yards interspersed with hurdles. 
15005056	300 m	Race over 300 metres with the fastest time winning. 
15005057	300 yards	Race over 300 yards with the fastest time winning. 
15005058	440 yards	Race over 440 yards with the fastest time winning. 
15005059	500 m	Race over 500 metres with the fastest time winning. 
15005060	500 yards	Race over 500 yards with the fastest time winning. 
15005061	600 m	Race over 600 metres with the fastest time winning. 
15005062	600 yards	Race over 600 yards with the fastest time winning. 
15005063	880 yards	Race over 880 yards with the fastest time winning. 
15005064	1000 yards	Race over 1000 yards with the fastest time winning. 
15005065	2 miles	Race over two miles with the fastest time winning. 
15005066	3 miles	Race over three miles with the fastest time winning. 
15005067	6 miles	Race over six miles with the fastest time winning. 
15005068	4x1 mile	Team Relay race with four runners on each team running for one mile. 
15005069	pentathlon	Only indoor, 60m hurdles, high jump, shot put, long jump, 800 m 
15006000	badminton	Two players or two teams of two compete by hitting a shuttlecock weighing approximately five grams over a high net. The aim for each player/team is to prevent the shuttlecock landing on their side of the court. 
15007000	baseball	A game between two teams of nine played on an enclosed ground. The team which scores the most points wins. A point is scored when a player runs around the ground marked out by four bases. 
15007001	Major League Baseball (North American Professional) - American League	Baseball league comprising 14 teams. 
15007002	Major League Baseball (North American Professional) - National League	Baseball league comprising 16 teams. 
15007003	Major League Baseball (North American Professional) - Special (e.g. All-Star, World Series)	Baseball competition other than the World Series. 
15007004	rubberball baseball	Sometimes called ''soft baseball,'' the game is played with a rubber baseball of varying degrees of hardness depending upon the age and level of the players. 
15007005	Major League Baseball Playoffs	Consists of several rounds of play to determine representatives to the U.S.-based World Series 
15007006	World Series	U.S.-based annual series of games between the top two teams of Major League Baseball to determine the overall champion 
15008000	basketball	Game played between two teams of five - points are scored by placing the large inflated ball into a net fixed on a ring 3.05m above the ground. 
15008001	National Basketball Association (North American Professional)	The NBA is the umbrella organisation running professional basketball in the United States. The NBA is made up of two conferences (east and west), four divisions (Atlantic and Central for the East, and Midwest and Pacific for the west). 
15008002	professional - Women general	Women's professional league 
15008003	Swiss netball	Similar to Basketball. Basket without a board. Mainly executed by women 
15008004	German netball	Same as Swiss Netball, but with specific German rules 
15008005	Dutch netball	Same as Swiss Netball, but with specific Dutch rule 
15009000	biathlon	A combination of cross country skiing and target shooting in a pursuit format. 
15009001	7.5 km	Timed cross country skiing race. Competitors set off at 30sec intervals for three circuits totalling 7.5km. 
15009002	10 km	Sprint races for men, pursuit for women. 
15009003	15 km	Individual women's race in sprint format staged over three laps with competitors setting off at intervals of a minute. 
15009004	20 km	Individual men's race in sprint format staged over five laps with competitors setting off at intervals of a minute. 
15009005	4x7.5 km relay	Teams consisting of four biathletes with each team covering a distance of 7.5km with two rounds of target shooting. 
15009006	12.5 km pursuit	The start is determined by the results from the sprint. A race held over five laps with target shooting (standing or prone) 
15010000	billiards, snooker and pool	A game played on a flat table covered with a cloth (baize) where players hit balls according to specific rules using a wooden cue. 
15010001	8 ball	A game using 15 balls and a white. The first player aims to pot the balls numbered 1-7 (solids) with the second player potting balls 9-15 (stripes). After that the first player to pot the black wins. 
15010002	9 ball	A game played with nine balls numbered 1-9, and a white. On each turn the player must hit the lowest numbered ball. 
15010003	14.1	A player nominates the ball he is attempting to pot and into which pocket. He collects points for each successful hit. He continues until he makes a mistake. Before hitting the 15th ball, the 14 reds are set up again in the triangle. 
15010004	continuous-DEPRECATED	NA 
15010005	other-DEPRECATED	NA 
15010006	snooker	Two players using a cue and a white ball to *sink* other coloured balls in a correct order on a baize table and to cause an opponent to miss-hit by positioning the white ball in an inappropriate place - snookering. 
15011000	bobsleigh	In bobsleigh two or four persons race down a course sitting in a sled that consists of a main hull, a frame, two axles and sets of runners. The total time of all heats in a competition is added together to determine the winner. 
15011001	two-man sled	race consisting of a team of two competitors 
15011002	four-man sled	race consisting of a team of four competitors 
15012000	bowling	A game in which a player scores points by trying to knock down ten 'pins' using a ball - if unsuccessful the player has a second attempt. A game consists of ten frames. 
15013000	bowls and petanque	A game in which players throw bowls at a target, the winner being the player who lands closest. 
15014000	boxing	Combat sport in which two men/women fight using only their fists covered by padded gloves in a square ring measuring 6m a side. The fight is usually split into 12 rounds of three minutes each. 
15014001	super-heavyweight	Weight category in boxing which varies according to the federation
15014002	heavyweight	Weight category in boxing which varies according to the federation
15014003	cruiserweight	Weight category in boxing which varies according to the federation
15014004	light-heavyweight	Weight category in boxing which varies according to the federation
15014005	super-middleweight	Weight category in boxing which varies according to the federation
15014006	middleweight	Weight category in boxing which varies according to the federation
15014007	light-middleweight	Weight category in boxing which varies according to the federation
15014008	welterweight	Weight category in boxing which varies according to the federation
15014009	light-welterweight	Weight category in boxing which varies according to the federation
15014010	lightweight	Weight category in boxing which varies according to the federation
15014011	super-featherweight	Weight category in boxing which varies according to the federation
15014012	featherweight	Weight category in boxing which varies according to the federation
15014013	super-bantamweight	Weight category in boxing which varies according to the federation
15014014	bantamweight	Weight category in boxing which varies according to the federation
15014015	super-flyweight	Weight category in boxing which varies according to the federation
15014016	flyweight	Weight category in boxing which varies according to the federation
15014017	light flyweight	Weight category in boxing which varies according to the federation
15014018	straw	Weight category in boxing which varies according to the federation
15014019	IBF	International boxing federation 
15014020	WBA	World boxing association 
15014021	WBC	World boxing council 
15014022	WBO	World boxing organisation 
15014023	French boxing	Combat sport in which kicking with all parts of the feet are permitted and punching with the front of the fist is also allowed 
15014024	Thai boxing	Form of boxing involving punches with fists, feet, knees, elbows and legs. 
15015000	canoeing and kayaking	races in either 'white' or 'dead' water 
15015001	Slalom	White water course set out with gates consisting of two poles suspended vertically over the water. Competitors must negotiate the gates or face penalties 
15015002	200 m	race held over 200m 
15015003	500 m	race held over 500m 
15015004	1000 m	race held over 1000m 
15015005	K1	an enclosed boat with the competitor sitting on a fixed seat for one person using a double bladed paddle 
15015006	K2	an enclosed boat with the competitor sitting on a fixed seat for two people using double bladed paddles. 
15015007	K4	an enclosed boat with the competitor sitting on a fixed seat for four people using double bladed paddles. 
15015008	C1	One-seater canoe (open boat with competitor using a single bladed paddle. 
15015009	C2	Two-seater canoe (open boat) - competitors use a single bladed paddle. 
15015010	C4	Four-seater canoe (open boat) with each competitor using a single bladed paddle. 
15015011	canoe sailing	A race involving a canoe equipped with a sail. 
15015012	pontoniering	Team sport, military tradition, similar to canoe regatta, in boats 
15016000	climbing	mountain sports 
15016001	mountaineering	Alpine climbing 
15016002	sport climbing	Sport climbing as a special category: individual competition, on an artificial wall with time measurement 
15017000	cricket	Ball sport involving two teams of 11 players, balls, bats and wickets. The aim is to score as many runs as possible, and to get the opposing team 'out'. A 'run' involves a player running between two wickets. The opposing team try to get their rivals 'out' 
15018000	curling	A game played on ice with large flat round stones. A player throws the stone, aiming at a target. Team mates of the player who has thrown the stone can sweep the ice in front of the stone to help smooth its path towards the target. 
15018001	icestock sport	Similar to curling, played on targets on ice, different stones with straight handle and different rules, played in alpine countries 
15019000	cycling	A race over a given distance on bicycles. 
15019001	track	A race staged on a track in a velodrome 
15019002	pursuit	Two cyclists or teams set off from midway down opposite straights and try to make up the gap between them. 
15019003	Olympic sprint	Qualifying race held over 200m. From the quarter-finals two cyclists go head-to-heads. By teams races consist of three cyclists from different countries. 
15019004	sprint	Races between two cyclists over two or three laps, with a timed sprint finish over the last 200m. 
15019005	Keirin	Sprint between six cyclists where a pacemaker on a moped gradually increases the pace over the first 1400m. When the pacemaker leaves the track the race develops into a sprint finish over the final 6-700m. 
15019006	points race	Cyclists aim to complete the highest number of laps. Bonus points are picked up in intermediate sprints held every 2500m. 
15019007	Madison race	A points race by teams comprising two cyclists in relay-format. 
15019008	500 m time trial	Individual race against the clock over 500m for women. 
15019009	1 km time trial	Individual race over 1000m against the clock for men. 
15019010	one hour	Competitors aim to complete as many kilometres as possible in one hour. 
15019011	road race	Road race with all the competitor starting en masse. 
15019012	road time trial	A race or stage against the clock with each cyclist setting off individually. 
15019013	staging race	A race disputed by teams with the classifications determined by the combined times over a day. 
15019014	cyclo-cross	Staged on various surfaces - earth, grass, sand or tarmac. 
15019015	Vtt	Mountain bikes 
15019016	Vtt-cross	An endurance race on mountain bikes around a 10km circuit over various terrain and with different degrees of slopes. Competitors are not allowed any exterior help. 
15019017	Vtt-downhill	Individual mountain bike race against the clock staged on a downhill circuit featuring obstacles. 
15019018	bi-crossing	A race where competitors have to cover a circuit with obstacles as quickly as possible. 
15019019	trial	A timed race in which competitors on mountain bikes must negotiate tricky terrain and obstacles without putting their feet down. 
15019020	artistic cycling	Individual or teams on one or two bicycles in an arena. Points are awarded by a jury. 
15019021	cycle ball	Competitive team sport using bicycles. One team against another with two persons per team. The aim is for competitors to move the ball using the front and rear wheels without letting their feet touch the ground. 
15020000	dancing	Dancing competition where couples are judged on technique and interpretation. 
15021000	diving	Competitors dive off a fixed or spring board and are assessed by seven judges giving marks up to ten for their acrobatic moves. 
15021001	10 m platform	Divers take off from a ten metre high platform. 
15021002	10 m platform synchronised	Two competitors from the same team dive off at the same time from separate platforms. As well as being judged on the standard criteria they are also awarded marks for synchronisation. 
15021003	3 m springboard	Divers dive from a three-metre high springboard. 
15021004	3 m springboard synchronised	Two competitors from the same team dive off at the same time from separate three-metre high springboards. As well as being judged on the standard criteria they are also awarded marks for synchronisation. 
15021005	subaquatics	Sports like hockey held under water 
15021006	scuba diving	Diving into different depths, with time measurement 
15022000	equestrian	Sport involving a horse and rider. 
15022001	three-day event	Equestrian event involving three disciplines - Dressage, cross-country and show jumping. 
15022002	dressage	A rider is judged on a series of moves at three different paces - walk, trot and gallop. 
15022003	jumping	A rider and horse attempt to jump a series of obstacles in an enclosed arena against the clock. 
15022004	cross country	Equestrian event held on a designated circuit in the countryside featuring artificial and natural obstacles. 
15023000	fencing	Combat sport using a sword or foil. 
15023001	epee	category of fencing using a weapon with a triangular cross-section blade and a large bell guard. 
15023002	foil	category of fencing using a weapon with a rectangular cross-section blade and a small bell guard. 
15023003	sabre	a fencing weapon with a flat blade and knuckle guard used with cutting or thrusting moves. 
15024000	field Hockey	A ball sport involving two teams of 11 players using curved sticks. The aim is to score as many goals as possible. 
15024001	roll hockey	Team sport similar to ice hockey, executed on 4 wheel roller skates with sticks and a ball 
15025000	figure Skating	To obtain the best marks possible from nine judges who award scores after two prepared sections - both skated to music - during which competitors must attempt to achieve the greatest possible harmony between artistic flair and technical precision. 
15025001	singles	The individual events comprise a short program which counts for 33.3% of the score, and the free skate which is worth 66.7%. 
15025002	pairs	The pairs event comprise a short program which counts for 33.3% of the score, and the free skate which is worth 66.7%. 
15025003	ice dance	Takes place over three days with, in order, two compulsory dances, the original dance (2min 30sec) and the free dance (4min). 
15026000	freestyle Skiing	Competitors perform a series of breathtaking acrobatic leaps from a prepared jump. Combined with moguls, jumps and ski ballet. 
15026001	moguls	Contestants attack a heavily moguled slope, performing technically challenging turns and jumps, while maintaining the most direct line from the top to the bottom of the hill. 
15026002	aerials	Competitors perform a series of aerial twists and turns from a prepared jump. 
15026003	artistic skiing	Competitors perform a series of artistic moves (jumps and twists) all set to music. The use of ski poles is permitted. 
15027000	golf	Competitors attempt to hit a small white ball with different clubs around a course of 18 holes varying in distance. The object is to make the fewest strokes possible. 
15028000	gymnastics	A sport consisting of a variety of disciplines in which gymnasts perform artistic and acrobatic moves on different apparatus. There are 6 disciplines for men and 4 for women. 
15028001	floor exercise	A gymnastics floor exercise on a 12m/sq matt. 
15028002	vault	gymnasts propel themselves by jumping on a trampoline after running quickly down a 25m lane 
15028003	pommel horse	Gymnasts perform an uninterrupted swing motion over a handled horse using balance and strength. 
15028004	uneven bars	Gymnasts run through an airborne routine swinging around and between the uneven bars. 
15028005	parallel bars	Gymnasts swing and turn with guile and grace around the parallel bars. 
15028006	horizontal bar	Gymnasts turn, spin and perform pirouettes around the horizontal bar. 
15028007	rings	Gymnasts perform feats of balance and strength from two suspended rings. 
15028008	beam	Gymnasts perform leaps and flips from the much feared balance beam just 10 cm wide. 
15028009	rhythmic	A mixture of dance and gymnastic moves. 
15028010	clubs	Dance and gymnastic moves whilst juggling clubs. 
15028011	hoop	A hoop is rolled and thrown whilst performing a dance routine. 
15028012	ribbon	Gymnasts work through a pre-arranged routine whilst manipulating a spectacular length of ribbon. 
15028013	rope	Jump and figure movements are performed while a rope is manipulated. 
15028014	ball	An exercise based on suppleness of the body using a ball. 
15028015	trampoline	Competitors perform complicated twists and turns whilst bouncing on the trampoline. 
15029000	handball (team)	A ball game using the hands contested by two teams of seven trying to throw the ball into the opponents goal. 
15030000	horse racing, harness racing	Mounted horse races. 
15030001	flat racing	A horse race over a flat course. 
15030002	steeple chase	A mounted horse race over at least eight classic obstacles, four of which must be different, such as the water jump, spruce fences, mud walls etc. 
15030003	trotting	Horses pitched to a jockeyed buggy race in a trot round a flat course. 
15030004	cross country	A long distance race including rustic obstacles such as real fences, streams and fallen trees. 
15031000	ice hockey	Two teams of six heavily padded skaters try and outscore each other by hitting a puck into the opponents goal. 
15031001	National Hockey League (North American)	Teams from the US and Canada make up the North American continents top league. 
15031002	sledge hockey	Like ice hockey but instead of skates small sledges are used. Competitors move by pushing with the arms 
15032000	Jai Alai (Pelota)	Because of the game organization, the proper identification of a specific game may require the combination of 2 subject details 
15032001	fronton	The *fronton* known as *Fronton Place Libre* consists of a rectangular outdoor court plus a large pink shaped wall at one end. The two sides and the other end are left opened. 
15032002	jai-alai	A *Jaï-Alai* is an indoor fronton with a 56 meters long court which is used exclusively to play *chistera-ancha*. Three walls are used in the game: the front, the back and the left hand wall. 
15032003	left wall	A *fronton with left hand wall* is an indoor fronton with a 36 meters long court where Pala or Main Nue are played. Three walls are used in the game: the front, the back and the left hand wall. 
15032004	trinquet	A *Trinquet* is an indoor fronton with a 28.5 meters long court surrounded by four walls. The four walls are used in the game. 
15032005	rebot	The *rebot* is the game played in a fronton *place libre* with 5 players in each team. They use a *chistera* (56 cm long and 12 cm large) or bare hands. 
15032006	chistera ancha	The *chistera-ancha* also called the *cesta punta* is the game played in a *jaï alai* with 1 or 2 players in each team. The players use a long curved basket called the *chistera* (68 cm long and 13 cm wide). 
15032007	chistera corta	The *chistera-corta* is the game played in a fronton *place libre* with left hand wall and 3 players in each team. The players use a long curved basket called the *chistera* (56 cm long and 12 cm wide). 
15032008	bare hand	The *Main Nue* (bare hand) is the ancestor of all Basque sports. 
15032009	pala-ancha	The *pala-ancha* is the game played in a fronton *place libre* with 2 players in each team. The players use a heavy wooden bat *the pala* (50 cm long and 20 cm wide). 
15032010	pala-corta	The *pala-corta* is the game played in a fronton with left hand wall and 2 players in each team. The players use a heavy wooden bat the *pala-corta* (50 cm long and 10 cm wide). The *pala* is the name for a heavy wooden bat. 
15032011	pasaka	The *pasaka* is the name of the game played in a trinquet by teams of 2 players facing each other on each side of a net where the pelota is hit between opponents. 
15032012	xare	The *xare*, is the name of the game played in a trinquet by teams of 2 players. The players use a *xare* (or the Argentina bat) 55 cm long and 16 cm wide. 
15033000	judo	A defensive martial art. 
15033001	heavyweight	Weight categoriy in Judo: open but usually over 100kg for men and over 78kg for women 
15033002	half-heavyweight	Weight categoriy in Judo: up to 100kg for men and 78kg for women. 
15033003	middleweight	Weight categoriy in Judo: up to 90kg for men and 70kg for women. 
15033004	half-middleweight	Weight categoriy in Judo: up to 81kg for men and 63kg for women. 
15033005	half-lightweight	Weight categoriy in Judo: up to 73kg for men and 57kg for women. 
15033006	lightweight	Weight categoriy in Judo: up to 66kg for men and 52kg for women. 
15033007	extra lightweight	Weight categoriy in Judo: up to 60kg for men and 48kg for women. 
15034000	karate	A martial art where chops, punches, kicks and throws are used to defeat an opponent. 
15034001	sparring	Boxing without competition, with padded helmets 
15034002	formal exercise-DEPRECATED	NA 
15035000	lacrosse	Two teams of helmeted and padded players try and outscore each other using a netted stick and hard ball. 
15036000	luge	Luge (French word for sled) is competed in singles or doubles. The competitor(s) lay on their back(s) on an open sled and race down a course. The competitor(s) and the sled must be in contact when passing the finishing line. 
15036001	singles	individual time trial event in a one seater luge 
15036002	doubles	time trial for a twin berth luge 
15037000	marathon	A road race where competitors run 42.195km, generally through city streets 
15038000	modern pentathlon	The Modern Pentathlon comprises five events run over a single day in the following order: shooting, fencing, swimming, horse riding and running. 
15038001	running	Pentathlon event 
15038002	shooting	Pentathlon event 
15038003	swimming	Pentathlon event 
15038004	fencing	Pentathlon event 
15038005	showjumping	Pentathlon event 
15039000	motor racing	Motor racing where speed and trusty mechanics are key 
15039001	Formula One	Single cockpit car racing where 20 or so competitors race head to head over varied circuits around the world to win Grand Prix points in an individual and constructors championship 
15039002	F3000	Using less powerful motors than the Formula One, designated construction teams race over varied circuits the world over in speed races for individual and team honours over a season. 
15039003	endurance	Endurance races for a driver and co-pilot using specially built cars. 
15039004	Indy	North American top range professional league speed racing over circuits. 
15039005	CART	North American professional league speed racing. 
15039006	NHRA	North American professional league speed racing. 
15039007	NASCAR	North American professional league speed racing. 
15039008	TRUCKI	North American professional league speed racing. 
15040000	motor rallying	A season of endurance races over closed circuits including dirt tracks, roads and even snowy conditions featuring specials using adapted road cars with a driver and co-pilot. 
15040001	rallying	Stage races 
15040002	pursuit	Cross-country race with mass start, first half of the distance in classic and the other half in free style. 
15040003	rallycross	Stage races over dirt tracks 
15041000	motorcycling	Races with 2, 3 or 4 wheels vehicles with a saddle and handlebars 
15041001	speed-Grand-Prix	A fast and furious race where every second counts 
15041002	enduro	A race of speed, endurance and regularity over varied surfaces such as through forests and on dirt tracks 
15041003	grass-track	A race competed on turf 
15041004	moto-ball	Team sport where drivers play a ball 
15041005	moto-cross	Raced over dirt tracks featuring severe mounds 
15041006	rallying	Races run over regular roads 
15041007	trial	A race of consistency and endurance over varied terrain 
15041008	endurance	A road race of consistency and endurance 
15041009	superbike	Engine size 
15041010	125 cm3	Engine size 
15041011	250 cm3	Engine size 
15041012	500 cm3	Engine size 
15041013	side-cars	Of different engine sizes but attached to a side car featuring a passenger 
15041014	motoGP	Capacity class 1000ccm 
15042000	netball	A woman's sport similar to basketball without a board behind the basket 
15043000	nordic skiing	Practiced in snowy countryside and based on power and endurance. There are classic and free style events with mass or staggered starts. 
15043001	cross-country	Nordic ski race 
15043002	5 km classical time	A 5km classic race in that the competitor keeps his skis parallel except on steep inclines where the scissor move is used 
15043003	10 km classical style	A 10km classic race in that the competitor keeps his skis parallel except on steep inclines where the scissor move is used 
15043004	10 km pursuit free style	Staggered start depending on positions with competitors using a skating like technique on skis 
15043005	15 km classical style	A 15km race using the classical style of keeping skies parallel 
15043006	15 km pursuit free style	15km race with staggered start using free style technique similar to a skating motion 
15043007	10 km + 15 km combined	10km classic followed by 15km free-style race 
15043008	30 km classical style	A 30km classic race in that the competitor keeps his skis parallel except on steep inclines where the scissor move is used 
15043009	30km free style	A 30km free-style race where the most common style is the skate style where competitors slide and the skis do not need to be parallel 
15043010	50 km free style	A 50km free style race where the most common style is the skate style where competitors slide and the skis do not need to be parallel 
15043011	4x5 km relay	Teams of four competitors ski 5km each in relay fashion 
15043012	4x10 km relay	Teams of four competitors ski 10km each in relay fashion 
15043013	nordic combined	A two day competition combining the ski jump and a cross-country race. 
15043014	raid	NA 
15043015	5 km pursuit free style	Cross-country skiing over a 5km course in a pursuit format 
15043016	1.5 km sprint free	Cross-country skiing over a 1.5km course in a sprint format 
15043017	50 km classic style	Cross-country skiing over a 50km course in a classic style format 
15044000	orienteering	An individual time-trial over a route marked out by beacons. The competitor has to search out and find in a specific order. The contestant makes his way with the help of a compass and map 
15044001	ski orienteering	An individual ski time-trial over a route marked out by beacons, that the competitor has to search out and find in a specific order. The contestant makes his way with the help of a compass and map 
15045000	polo	With the aid of a mallet two teams of four horsemen try and knock a bamboo ball into the opponents goal over a pitch 250m long and 150m wide. The game is divided into 4, 6, or 8 time periods of 7min 30sec called chukkas. 
15046000	power boating	Races between motor boats on rivers or lakes 
15046001	F1	Sprint race 
15046002	F2	Long distance race 
15047000	rowing	Boat racing usually on flat calm waters with boats for 1, 2, 4 or 8 rowers 
15047001	single sculls	Single person boats with two oars 
15047002	double sculls	Two person boats with two oars each 
15047003	quadruple sculls	Four person boats with two oars each and without a team mate to give directions 
15047004	coxless pair	Two person boats with just one oar each and without a team mate to give directions 
15047005	coxless four	Four person boats with just one oar each and without a team mate to give directions 
15047006	eight	Eight person boats with just one oar each and without a team mate to give directions 
15047007	lightweight	Where a weight category is imposed on competitors 
15048000	rugby league	Two teams of 13 compete on a pitch where they score tries and penalties by running with and passing an oval ball to be touched down behind the goal line or kicked between goal posts in a tough physical contest 
15049000	rugby union	Two teams of 15 compete on a pitch where they score tries and penalties by running with and passing an oval ball to be touched down behind the goal line or kicked between goal posts in a tough physical contest 
15049001	rugby 7	A more fun and exciting variety where two teams of 7 compete on a pitch where they score tries and penalties by running with and passing an oval ball to be touched down behind the goal line or kicked between goal posts in a tough physical contest 
15050000	sailing	Sail boat racing over a route marked by buoys. 
15050001	Tornado	Boat Category: two man catamaran (21m/sq mainsail) Olympic sport 
15050002	soling	Boat Category: three man keel boat 
15050003	49er	Boat Category: two man dinghy (8.23m/sq mainsail) Olympic sport 
15050004	Europe	Boat Category: one man dinghy (4.57m/sq mainsail) Olympic sport 
15050005	Laser	Boat Category: one man dinghy (4.6m/sq mainsail) Olympic sport 
15050006	470	Boat Category: two man dinghy (7.10m/sq mainsail) Olympic sport 
15050007	Finn	Boat Category: one man dinghy (10m/sq mainsail) Olympic sport 
15050008	Star	Boat Category: two man keel boat (7.10m/sq mainsail) Olympic sport 
15050009	flying dutchmann	Boat Category: two man dinghy 
15050010	505	Boat Category: two man dinghy 
15050011	staging race	Sea racing 
15050012	around the world	Open seas racing 
15050013	monohull	Single hull craft 
15050014	multihulls	Multi hull craft 
15050015	yngling	Olympic boat-class. A race around different courses in a boat of 6.35 metres (20ft 10in) long and 1.73 metres (5ft 8in) wide, crewed in Olympic competition only by women. The number of races and the length of the courses varies. 
15050016	mistral	Olympic boat class. A staged race using boats of the mistral type, which are 4.24 metres (13ft 11in) long and 1.3 metres (4ft 3in) wide. The number of races and the length of the courses varies. 
15051000	shooting	Precision sport using a hand gun, rifle or shotgun 
15051001	10 m air rifle	Shooting event 
15051002	10 m air pistol	Shooting event 
15051003	10 m running target	Shooting event 
15051004	25 m rapid fire pistol	Shooting event 
15051005	25 m sport pistol	Shooting event 
15051006	50 m free pistol	Shooting event 
15051007	50 m free rifle prone	Shooting event 
15051008	50 m free rifle 3x40	Shooting event 
15051009	50 m sport rifle 3x20	Shooting event 
15051010	trap	Shooting event with moving targets 
15051011	double trap	Shooting event with two moving targets launched at the same time 
15051012	skeet	Shooting event with moving targets, competitor shoots from a series of positions 
15052000	ski jumping	Competitors descend a snow covered elevated ramp on skis and try to fly off it as far as possible, receiving marks for distance, style of flight and landing 
15052001	K90 jump	Competitors jump from 70m and must clear 90m distance in their jump before scoring points for it 
15052002	K120 jump	Competitors jump from 90m and must clear 120m distance in their jump before scoring points for it 
15052003	K180 (flying jump)	Competitors jump from 180m and must clear 180m in their jump before scoring points for it 
15053000	snow boarding	Practiced with a single board (rather than two skis) 
15053001	giant slalom	Knock-out head-to-head downhill racing 
15053002	half-pipe	Over a semi-cylindrical tube of 100m competitors must perform a series of moves that are marked for style by 5 judges 
15054000	soccer	Two teams of eleven try to kick or head a ball into the opponents goal over a match usually of 90 minutes 
