code	name	definition
04003001	hardware	The physical devices used to provide computer services, such as monitors, hard drives, keyboards etc. but can also be used for equipment such as routers, servers and other network devices. 
04003002	networking	The interconnectivity between hardware that provides the medium for the transmission of data. 
04003003	satellite technology	Hardware and software that enables groundbased devices to send signals to each other via an orbiting satellite. 
04003004	semiconductors and active components	The basic components that together create working electronic devices such as computers 
04003005	software	Programming sets that, when installed on hardware, perform specified functions. 
04003006	telecommunication equipment	Devices such as telephone sets, voice/data switches, modems etc that facilitate point-to-point voice/data transmissions 
04003007	telecommunication service	Services provided by commercial companies that facilitate connections between telephones, pagers, computers 
04003008	security	To encompass technical developments in hardware and software, basic research and related areas such as cyber security 
04003009	wireless technology	Transmission of information through means other than point-to-point wired hookups 
04004000	construction and property	All items pertaining to the construction and sale of property 
04004001	heavy construction	Large scale construction projects, construction of roads, dams, office/factory buildings, offshore and onshore structures, large sport stadiums 
04004002	house building	Construction of residences, for private use 
04004003	real estate	The buying and selling of properties of all types 
04004004	farms	Agricultural areas for the production of foodstuffs, including dairy products, fruits and livestock, such as cattle and fish 
04004005	land price	The price of land in specific zoned areas such as commercial, residential arable as provided by a responsible body 
04004006	renovation	Restoring properties/structures to a former better state by cleaning, repairing or rebuilding. 
04004007	design and engineering	Design and planning by Engineers, Architects etc. of roads, offices, factories, dams , offshore structures, 
04005000	energy and resource	Production of electrical power, and the water, air, sunlight, and fuels used to produce them 
04005001	alternative energy	Alternative energy business 
04005002	coal	Production and mining of anthracite and bituminous products for use in power production 
04005003	oil and gas - downstream activities	All matters concerning oil and gas, typically refining and distribution activities 
04005004	oil and gas - upstream activities	All matters concerning oil and gas, typically supply chain activities from the reservoir to the refinery gate 
04005005	nuclear power	Use of radioactive materials for power production 
04005006	electricity production and distribution	Primarily concerning the power line distribution system, but also the sale of electrical power at wholesale and retail levels 
04005007	waste management and pollution control	The business of waste management and pollution control 
04005008	water supply	The business of providing water for human use 
04005009	natural resources (general)	The general use of natural resources for business purposes, not focused on specific resources such as coal, oil, gas or water 
04005010	energy (general)	Energy industry, not focused on any specific sector 
04005011	natural gas	A natural resource, mainly methane in an flammable gaseous state, from the ground 
04005012	petrol	Distilled petroleum product used for automotive fuel, with or without additives 
04005013	diesel fuel	A distilled petroleum product heavier than gasoline used not only for trucks, marine engines, but in certain forms for home heating 
04005014	kerosene/paraffin	A light petroleum distillate used for cooking fuel, aircraft jet engines, lamps, heating and cleaning 
04006000	financial and business service	Services that transmit, safeguard, keep track of money or provide backup to commercial enterprises 
04006001	accountancy and auditing	Services provide balance sheet, budgets reconciliation and examine accuracy of financial statements 
04006002	banking	Services for storing, transmitting, receiving and delivery of cash moneys 
04006003	consultancy service	Providers of expert knowledge in a wide range of fields usually on a temporary, contract basis 
04006004	employment agency	A service helping people find jobs, and companies to find workers 
04006005	healthcare provider	Providers of medical services at all levels, including doctors, hospitals etc 
04006006	insurance	A risk taking venture that allows individuals to pay small amounts periodically to guard financially against unexpected events 
04006007	legal service	Lawyers and others who help companies and individuals deal with state, federal and local laws 
04006008	market research	A service that tries to determine what people want to buy 
04006009	stock broking	The buying and selling of company shares on behalf of individuals or other entities 
04006010	personal investing	Personal finance and investment 
04006011	market trend	Statistically significant consumer behaviour. 
04006012	shipping service	Companies that prepare and transport packages and documents for individuals or companies by any means, including postal services. 
04006013	personal service	Consumer service that is intangible e.g. beauty care as in hairdressing 
04006014	janitorial service	Companies that provide cleaning and similar services for homes and businesses. 
04006015	funeral parlour and crematorium	Companies that provide services for disposal of the dead 
04006016	rental service	Companies which provide rentals, including motor vehicles, tuxedos, tools, heavy equipment, and other supplies 
04006017	wedding service	Services and products related to the wedding industry 
04006018	personal finance	An individual's income and expenses 
04006019	personal income	Money that a person earns and is his/hers to keep or spend 
04006020	auction service	Sales by bidding 
04006021	printing/promotional service	Production of printed matter such as flyers, ads, signs etc 
04006022	investment service	Financial advisers, as opposed to stock dealers or consultants 
04007000	consumer goods	Items produced for and sold to individuals 
04007001	clothing	Items of apparel to wear 
04007002	department store	Stores largely devoted to the sale of clothing to individuals 
04007003	food	Fruits, vegetables, breads, meats for human consumption 
04007004	mail order	Items sold through and delivered by mail 
04007005	retail	The last stage in the sales chain 
04007006	speciality store	Retail outlets that specialize in categories such as shoes, coats, power tools, etc 
04007007	wholesale	The first link in the sales chain after production 
04007008	beverage	Liquid consumables, both alcoholic and non-alcoholic 
04007009	electronic commerce	Buying and selling items through the Internet 
04007010	luxury good	Leather bags, jewellery, haute couture, accessories etc 
04007011	non-durable good	Lighters, pens and stationery, tableware, watches, glasses etc 
04007012	toy	Children's plaything 
04008000	macro economics	Broad scale economics and the world or national level 
04008001	central bank	A country's major bank that sets interest rates, and provides transfer of funds between commercial banks 
04008002	consumer issue	Those issues, such as prices, inflation/deflation, quality of goods, at the retail sales level 
04008003	debt market	Market for trading debt instruments such as bonds, CDs, bankers acceptances, T bills, notes, IOUs etc 
04008004	economic indicator	Certain indexes, such as company inventories, the movement of prices that show whether the economy is improving or declining 
04008005	emerging market	Those markets that are struggling to enter the world economies and those requiring financial help from international lenders 
04008006	foreign exchange market	The trading of shekels, dinars, euros dollars etc around the world through regulated markets 
04008007	government aid	Supply of financial and other help by one government, usually to another 
04008008	government debt	The amount a government owes on bonds, services and for goods and services for which it has no ready cash 
04008009	interest rate	The amount of money one must pay to borrow money 
04008010	international economic institution	Entities such as UNIDO, World Bank, World Trade Organization, the Import-Expert Bank etc that deals at a world level 
04008011	international (foreign) trade	Trade of goods and services between nations 
04008012	loan market	The market where money is available to borrow, at certain rates of interest 
04008013	economic organization	Business, industrial and trade associations, societies and other private-sector groups. 
04008014	consumer confidence	Reports on consumer confidence in the economy. 
04008015	trade dispute	International dispute over trade barriers, cartels, dumping etc. 
04008016	inflation and deflation	An increase in the amount of money in circulation and thereby a rise in prices; deflation, tighter monetary policy causing lower prices 
04008017	prices	The monetary value of goods, services or stocks and bonds 
04008018	currency values	The value of one currency as measured against another 
04008019	budgets and budgeting	A method of balancing revenues against expenses 
04008020	credit and debt	Credit: the amount of money available to you, often by loan. Debt, the amount you owe. 
04008021	loans	An agreement by one individual or institution to temporarily disperse money to another, with an agreed rate and time for its return 
04008022	mortgages	The loan of money for the purpose of purchasing a property, whether land or building. Or, for homeowners to repair or maintain properties, often based on owner equity in a property 
04008023	financial markets	Institutions set up to trade the shares or other financial paper of companies or other organizations, can also include currency trading 
04008024	commodity markets	The bartering or trading of goods such as cotton, oil, coal, metals, etc 
04008025	investments	Speculative purchases of corporate instruments, of commodities, currencies, or parts thereof 
04008026	stocks	Corporate paper that gives an individual an ownership right to a part of a company's earnings 
04008027	bonds	Corporate or governmental paper representing the loan of money at a fixed rate and for a fixed time to that company or government 
04008028	mutual funds	Pools of shares or bonds for sale often grouped by investment intention, such as growth, income or security 
04008029	derivative securities	Financial instruments such as futures, swaps and options, used for risk management, whose characteristics and value depend upon the characteristics and value of an underlying instrument, such as a commodity, bond, equity or currency. 
04008030	imports	What is bought abroad and brought into a country for resale 
04008031	exports	What is produced or manufactured in your country and sent and sold elsewhere 
